id,title,release_date
Future/Like-That,Like That,2024-03-22
Kendrick-Lamar/Not-Like-Us,Not Like Us,2025-02-06
Kendrick-Lamar/Tv-Off,tv off,2024-11-27
Kendrick-Lamar/Reincarnated,reincarnated,2024-11-27
Kendrick-Lamar/Squabble-Up,squabble up,2024-11-22
21-Savage/Redrum,redrum,2024-01-12
"Tyler,-the-Creator/Balloon",Balloon,2025-01-15
Kendrick-Lamar/Meet-the-Grahams,meet the grahams,2024-05-03
JPEGMAFIA/Either-on-or-Off-the-Drugs,either on or off the drugs,2024-08-01
%C2%A5$/CARNIVAL,CARNIVAL,2024-02-15
Eazy-E/Eazy-Duz-It,Eazy-Duz-It,2002-08-27
Rodney-O-and-Joe-Cooley/Everlasting-Bass,Everlasting Bass,2006
Birdman/Pop-Bottles,Pop Bottles,2011-03
Monk-Higgins/I-Believe-to-My-Soul,I Believe To My Soul,1968
The-Sixth-Sense/I-See-Dead-People,I See Dead People,
YG/I%27m-Good,I’m Good,2011-05-02
2Pac/Made-Niggas,Made Niggas,1996
Debbie-Deb/When-I-Hear-Music,When I Hear Music,2008-02-11
21-Savage/A-Lot,a lot,
Akiko-Yano/%E3%83%A8%E3%83%BB%E3%83%AD%E3%83%BB%E3%82%B3%E3%83%BB%E3%83%93,ヨ・ロ・コ・ビ,
Monk-Higgins/Mac-Arthur-Park,Mac Arthur Park,1968
Elza-Laranjeira/Serenata-Do-Adeus,Serenata Do Adeus,
The-Shining/Here%27s-Johnny!,Here's Johnny!,
Luke/I-Wanna-Rock,I Wanna Rock,1998-03-24
John-Barry/The-Black-Hole-Overture,The Black Hole - Overture,
Andrew-Wartts/Can-You-Say-Yeah%3F,Can You Say Yeah,1982
Timothy-Carpenter/I-Want-to-Make-It,I Want to Make It,
AI-for-the-Culture/Turn-on-the-Lights,Turn on the Lights,
The-Notorious-B.I.G./Kick-in-the-Door,Kick in the Door,1996
ExpertVillage-Leaf-Group/Importing-the-JPEG-for-Digital-Embroidery-Machine-Designs,Importing the JPEG for Digital Embroidery Machine Designs,
Kanye-West/Hell-of-a-Life,Hell of a Life,2010-11-22
Jadakiss/Put-Ya-Hands-Up,Put Ya Hands Up,2001-07
Playboi-Carti/BACKR00MS,BACKR00MS,2024
Lil-Jon/Who-U-Wit%3F,Who U Wit,1997-10-21
Barry-White/I%27m-Gonna-Love-You-Just-a-Little-More-Baby,"I'm Gonna Love You Just a Little More, Baby",2007-10-30
East-of-Underground/I-Love-You,I Love You,2007
Ludwig-Van-Beethoven/Symphony-No.-9%3A-Ode-to-Joy,Symphony No. 9 Ode to Joy,1993
7th-Wonder/Daisy-Lady,Daisy Lady,1986
Sly-%26-the-Family-Stone/Sing-a-Simple-Song,Sing A Simple Song,2013-08-23
Beside/Change-the-Beat-(Female-Version),Change the Beat (Female Version),
The-Temptations/Ball-of-Confusion-(That%27s-What-the-World-Is-Today),Ball of Confusion (That's What the World Is Today),1992
